イベントID,地震発生場所,地震発生時刻,観測点で地震を検知した時刻,緯度,経度,マグニチュード,県名称,市町村名称,最大震度,震度観測点の情報
20230707065920,根室半島南東沖,2023-07-07T06:59:00+09:00,2023-07-07T06:59:00+09:00,43.06666666666667,146.01666666666668,4.1,北海道,根室市,2,根室市落石東＊ 根室市牧の内＊ 根室市厚床＊ 根室市珸瑤瑁＊ 標津町北２条＊ 別海町本別海＊ 
20230707065920,根室半島南東沖,2023-07-07T06:59:00+09:00,2023-07-07T06:59:00+09:00,43.06666666666667,146.01666666666668,4.1,北海道,標津町,1,根室市落石東＊ 根室市牧の内＊ 根室市厚床＊ 根室市珸瑤瑁＊ 標津町北２条＊ 別海町本別海＊ 
20230707065920,根室半島南東沖,2023-07-07T06:59:00+09:00,2023-07-07T06:59:00+09:00,43.06666666666667,146.01666666666668,4.1,北海道,別海町,1,根室市落石東＊ 根室市牧の内＊ 根室市厚床＊ 根室市珸瑤瑁＊ 標津町北２条＊ 別海町本別海＊ 
